Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Luoyang Luogang Group of Steel and Iron Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,19.0,1,898607349.1565193,105116210861.16833,,1.0,,34.798477,112.580505,Luoyang Luogang Group of Steel and Iron Co Ltd,34.798477,112.580505,0.0,0.0
Max Aicher GmbH & Co KG,1,0,0.0,0.0,1,1,Slovakia,Europe,8.0,0,,,,0.0,,48.886028,21.82705,Max Aicher Slovakia Steel Mills Strazske,48.886028,21.82705,0.0,0.0
Matesi,1,0,0.0,0.0,1,1,Venezuela,Central & South America,26.0,0,,,,0.0,,8.300159000000003,-62.780136000000006,CVG Briquetera de Venezuela DRI plant,8.300159,-62.780136,1.7683101649623721e-13,1.7683101649623721e-13
Mariupolskyi Metalurgiinyi Kombinat Imeni Illicha PrAT,1,0,0.0,0.0,1,1,Ukraine,Europe,129.0,0,,,,0.0,,47.1402768,37.5943416,Metinvest Ilyich Iron and Steel Works,47.1402768,37.5943416,0.0,0.0
Marcegaglia Holding SpA,1,0,0.0,1200.0,1,1,France,Europe,53.0,0,,,,0.0,,43.445004,4.846805,Marcegaglia Fos Sur Mer steel plant,43.445004,4.846805,0.0,0.0
Makran Steel Co,1,0,0.0,3000.0,1,1,Iran,Middle East,,0,,,,0.0,,25.448397700000005,60.64084879999999,Makran Steel Sistan and Baluchestan Complex,25.4483977,60.6408488,3.5366203299247443e-13,3.5366203299247443e-13
Maegma Minerals Sdn Bhd,1,0,0.0,0.0,1,1,Malaysia,Asia Pacific,,0,,,,0.0,,4.2405829,100.5949428,Maegma Minerals Lumut HBI Plant,4.2405829,100.5949428,0.0,0.0
Gulf Tubing Co,1,0,0.0,630.0,1,1,Saudi Arabia,Middle East,,0,,,,0.0,,27.502041000000006,49.189647,Gulf Tubing Company Ras Al-Khair steel plant,27.502041,49.189647,7.073240659849489e-13,7.073240659849489e-13
MK Azovstal' PrAT,1,0,0.0,0.0,1,1,Ukraine,Europe,,0,,,,0.0,,47.094724,37.596862,Azovstal Iron and Steel Works,47.094724,37.596862,0.0,0.0
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",1,0,0.0,360.0,1,1,China,Asia Pacific,17.6,1,218005645.09942687,277790827277.3762,,1.0,,44.022802,125.50562700000002,Jilin Steel Group Fugang Metal Manufacturing Co Ltd,44.022802,125.505627,0.0,0.0
